Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,3,140,1,Some Random Commen with Id 0
1,1,3,85,4,Some Random Commen with Id 1
2,1,3,152,7,Some Random Commen with Id 2
3,1,3,33,5,Some Random Commen with Id 3
4,1,3,87,2,Some Random Commen with Id 4
5,2,1,79,1,Some Random Commen with Id 5
6,2,1,62,9,Some Random Commen with Id 6
7,2,1,101,1,Some Random Commen with Id 7
8,2,1,169,7,Some Random Commen with Id 8
9,2,1,94,9,Some Random Commen with Id 9
10,2,1,32,9,Some Random Commen with Id 10
11,2,1,184,7,Some Random Commen with Id 11
12,2,1,97,2,Some Random Commen with Id 12
13,2,1,79,5,Some Random Commen with Id 13
14,3,0,67,4,Some Random Commen with Id 14
15,4,2,127,3,Some Random Commen with Id 15
16,4,2,112,9,Some Random Commen with Id 16
17,4,2,4,8,Some Random Commen with Id 17
18,4,2,130,8,Some Random Commen with Id 18
19,4,2,116,2,Some Random Commen with Id 19
20,4,2,95,4,Some Random Commen with Id 20
21,4,2,131,7,Some Random Commen with Id 21
22,4,2,189,7,Some Random Commen with Id 22
23,5,4,3,2,Some Random Commen with Id 23
24,5,4,193,3,Some Random Commen with Id 24
25,7,8,145,4,Some Random Commen with Id 25
26,7,8,58,2,Some Random Commen with Id 26
27,7,8,181,5,Some Random Commen with Id 27
28,7,8,125,3,Some Random Commen with Id 28
29,7,8,120,9,Some Random Commen with Id 29
30,7,8,139,0,Some Random Commen with Id 30
31,7,8,105,3,Some Random Commen with Id 31
32,7,8,147,2,Some Random Commen with Id 32
33,7,8,9,2,Some Random Commen with Id 33
34,8,9,174,2,Some Random Commen with Id 34
35,8,9,148,6,Some Random Commen with Id 35
36,8,9,32,8,Some Random Commen with Id 36
37,8,9,142,3,Some Random Commen with Id 37
38,8,9,72,1,Some Random Commen with Id 38
39,8,9,21,3,Some Random Commen with Id 39
40,8,9,105,6,Some Random Commen with Id 40
41,8,9,197,2,Some Random Commen with Id 41
42,8,9,166,4,Some Random Commen with Id 42
43,9,3,131,4,Some Random Commen with Id 43
44,9,3,38,9,Some Random Commen with Id 44
45,11,9,184,9,Some Random Commen with Id 45
46,11,9,42,6,Some Random Commen with Id 46
47,11,9,104,8,Some Random Commen with Id 47
48,11,9,199,3,Some Random Commen with Id 48
49,12,8,113,7,Some Random Commen with Id 49
50,13,1,125,5,Some Random Commen with Id 50
51,13,1,167,3,Some Random Commen with Id 51
52,13,1,103,5,Some Random Commen with Id 52
53,13,1,163,7,Some Random Commen with Id 53
54,13,1,28,4,Some Random Commen with Id 54
55,13,1,142,3,Some Random Commen with Id 55
56,13,1,131,4,Some Random Commen with Id 56
57,13,1,68,3,Some Random Commen with Id 57
58,14,6,183,9,Some Random Commen with Id 58
59,14,6,82,4,Some Random Commen with Id 59
60,15,3,157,4,Some Random Commen with Id 60
61,16,9,183,6,Some Random Commen with Id 61
62,17,9,161,6,Some Random Commen with Id 62
63,17,9,17,6,Some Random Commen with Id 63
64,17,9,150,6,Some Random Commen with Id 64
65,19,5,93,1,Some Random Commen with Id 65
66,19,5,164,4,Some Random Commen with Id 66
67,19,5,168,4,Some Random Commen with Id 67
68,19,5,135,4,Some Random Commen with Id 68
69,19,5,76,5,Some Random Commen with Id 69
70,20,2,152,8,Some Random Commen with Id 70
71,20,2,193,8,Some Random Commen with Id 71
72,20,2,129,1,Some Random Commen with Id 72
73,20,2,133,1,Some Random Commen with Id 73
74,20,2,178,5,Some Random Commen with Id 74
75,20,2,124,7,Some Random Commen with Id 75
76,20,2,89,3,Some Random Commen with Id 76
77,20,2,109,8,Some Random Commen with Id 77
78,21,1,110,9,Some Random Commen with Id 78
79,21,1,83,5,Some Random Commen with Id 79
80,21,1,174,4,Some Random Commen with Id 80
81,21,1,176,7,Some Random Commen with Id 81
82,21,1,124,2,Some Random Commen with Id 82
83,21,1,169,1,Some Random Commen with Id 83
84,21,1,1,3,Some Random Commen with Id 84
85,21,1,134,8,Some Random Commen with Id 85
86,22,4,189,1,Some Random Commen with Id 86
87,22,4,173,3,Some Random Commen with Id 87
88,22,4,50,7,Some Random Commen with Id 88
89,22,4,131,1,Some Random Commen with Id 89
90,22,4,52,2,Some Random Commen with Id 90
91,22,4,32,1,Some Random Commen with Id 91
92,22,4,3,3,Some Random Commen with Id 92
93,22,4,131,9,Some Random Commen with Id 93
94,23,2,142,2,Some Random Commen with Id 94
95,23,2,25,3,Some Random Commen with Id 95
96,23,2,126,6,Some Random Commen with Id 96
97,23,2,51,1,Some Random Commen with Id 97
98,23,2,39,0,Some Random Commen with Id 98
99,23,2,37,8,Some Random Commen with Id 99
100,25,9,141,7,Some Random Commen with Id 100
101,27,8,46,6,Some Random Commen with Id 101
102,27,8,99,8,Some Random Commen with Id 102
103,27,8,69,5,Some Random Commen with Id 103
104,27,8,145,1,Some Random Commen with Id 104
